"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"candidato";"region_id";"region_name";"comuna_name"
"88";4;9;24;0;2017;1;"Votos En Blanco";3;"Atacama";"Alto del Carmen"
"89";4;3;123;0;2017;1;"Marco Enriquez-Ominami Gumucio";3;"Atacama";"Alto del Carmen"
"90";4;2550;1066;1;2017;2;" Sebastian Pinera Echenique";3;"Atacama";"Alto del Carmen"
"91";4;2551;296;0;2017;1;"Beatriz Sanchez Munoz";3;"Atacama";"Alto del Carmen"
"92";4;2550;795;0;2017;1;" Sebastian Pinera Echenique";3;"Atacama";"Alto del Carmen"
"93";4;9;42;0;2013;1;"Votos En Blanco";3;"Atacama";"Alto del Carmen"
"94";4;7;29;0;2013;1;"Roxana Miranda Meneses";3;"Atacama";"Alto del Carmen"
"95";4;10;24;0;2013;1;"Ricardo Israel Zipper";3;"Atacama";"Alto del Carmen"
"96";4;567;847;0;2017;2;"Alejandro Guillier Alvarez";3;"Atacama";"Alto del Carmen"
"97";4;147;68;0;2017;1;"Jose Antonio Kast Rist";3;"Atacama";"Alto del Carmen"
"98";4;9;16;0;2013;2;"Votos En Blanco";3;"Atacama";"Alto del Carmen"
"99";4;6;25;0;2013;1;"Alfredo Sfeir Younis";3;"Atacama";"Alto del Carmen"
"100";4;535;6;0;2017;1;"Alejandro Navarro Brain";3;"Atacama";"Alto del Carmen"
"101";4;8;38;0;2013;1;"Votos Nulos";3;"Atacama";"Alto del Carmen"
"102";4;1;1319;1;2013;2;"Michelle Bachelet Jeria";3;"Atacama";"Alto del Carmen"
"103";4;561;104;0;2017;1;"Carolina Goic Boroevic";3;"Atacama";"Alto del Carmen"
"104";4;8;15;0;2017;1;"Votos Nulos";3;"Atacama";"Alto del Carmen"
"105";4;1;1286;0;2013;1;"Michelle Bachelet Jeria";3;"Atacama";"Alto del Carmen"
"106";4;4;165;0;2013;1;"Franco Aldo Parisi Fernandez";3;"Atacama";"Alto del Carmen"
"107";4;2;405;0;2013;1;"Evelyn Matthei Fornet";3;"Atacama";"Alto del Carmen"
"108";4;567;476;0;2017;1;"Alejandro Guillier Alvarez";3;"Atacama";"Alto del Carmen"
"109";4;8;26;0;2013;2;"Votos Nulos";3;"Atacama";"Alto del Carmen"
"110";4;8;9;0;2017;2;"Votos Nulos";3;"Atacama";"Alto del Carmen"
"111";4;9;7;0;2017;2;"Votos En Blanco";3;"Atacama";"Alto del Carmen"
"112";4;2;480;0;2013;2;"Evelyn Matthei Fornet";3;"Atacama";"Alto del Carmen"
"113";4;2552;15;0;2017;1;"Eduardo Artes Brichetti";3;"Atacama";"Alto del Carmen"
"114";4;11;14;0;2013;1;"Tomas Jocelyn-Holt Letelier";3;"Atacama";"Alto del Carmen"
"115";4;3;209;0;2013;1;"Marco Enriquez-Ominami Gumucio";3;"Atacama";"Alto del Carmen"
"116";4;5;57;0;2013;1;"Marcel Claude Reyes";3;"Atacama";"Alto del Carmen"
"117";5;11;18;0;2013;1;"Tomas Jocelyn-Holt Letelier";1;"Tarapaca";"Alto Hospicio"
"118";5;10;55;0;2013;1;"Ricardo Israel Zipper";1;"Tarapaca";"Alto Hospicio"
"119";5;3;2031;0;2013;1;"Marco Enriquez-Ominami Gumucio";1;"Tarapaca";"Alto Hospicio"
"120";5;2550;9969;1;2017;2;" Sebastian Pinera Echenique";1;"Tarapaca";"Alto Hospicio"
"121";5;9;34;0;2017;2;"Votos En Blanco";1;"Tarapaca";"Alto Hospicio"
"122";5;567;7467;0;2017;2;"Alejandro Guillier Alvarez";1;"Tarapaca";"Alto Hospicio"
"123";5;1;6353;0;2013;1;"Michelle Bachelet Jeria";1;"Tarapaca";"Alto Hospicio"
"124";5;8;113;0;2017;2;"Votos Nulos";1;"Tarapaca";"Alto Hospicio"
"125";5;561;868;0;2017;1;"Carolina Goic Boroevic";1;"Tarapaca";"Alto Hospicio"
"126";5;5;388;0;2013;1;"Marcel Claude Reyes";1;"Tarapaca";"Alto Hospicio"
"127";5;2;2446;0;2013;1;"Evelyn Matthei Fornet";1;"Tarapaca";"Alto Hospicio"
"128";5;3;1743;0;2017;1;"Marco Enriquez-Ominami Gumucio";1;"Tarapaca";"Alto Hospicio"
"129";5;4;3106;0;2013;1;"Franco Aldo Parisi Fernandez";1;"Tarapaca";"Alto Hospicio"
"130";5;2551;4492;0;2017;1;"Beatriz Sanchez Munoz";1;"Tarapaca";"Alto Hospicio"
"131";5;2;3859;0;2013;2;"Evelyn Matthei Fornet";1;"Tarapaca";"Alto Hospicio"
"132";5;1;7364;1;2013;2;"Michelle Bachelet Jeria";1;"Tarapaca";"Alto Hospicio"
"133";5;9;64;0;2013;1;"Votos En Blanco";1;"Tarapaca";"Alto Hospicio"
"134";5;9;51;0;2013;2;"Votos En Blanco";1;"Tarapaca";"Alto Hospicio"
"135";5;567;3629;0;2017;1;"Alejandro Guillier Alvarez";1;"Tarapaca";"Alto Hospicio"
"136";5;6;118;0;2013;1;"Alfredo Sfeir Younis";1;"Tarapaca";"Alto Hospicio"
"137";5;9;76;0;2017;1;"Votos En Blanco";1;"Tarapaca";"Alto Hospicio"
"138";5;8;124;0;2013;1;"Votos Nulos";1;"Tarapaca";"Alto Hospicio"
"139";5;8;154;0;2013;2;"Votos Nulos";1;"Tarapaca";"Alto Hospicio"
"140";5;2552;82;0;2017;1;"Eduardo Artes Brichetti";1;"Tarapaca";"Alto Hospicio"
"141";5;7;276;0;2013;1;"Roxana Miranda Meneses";1;"Tarapaca";"Alto Hospicio"
"142";5;2550;5552;0;2017;1;" Sebastian Pinera Echenique";1;"Tarapaca";"Alto Hospicio"
"143";5;535;54;0;2017;1;"Alejandro Navarro Brain";1;"Tarapaca";"Alto Hospicio"
"144";5;8;209;0;2017;1;"Votos Nulos";1;"Tarapaca";"Alto Hospicio"
"145";5;147;2070;0;2017;1;"Jose Antonio Kast Rist";1;"Tarapaca";"Alto Hospicio"
"146";6;561;1057;0;2017;1;"Carolina Goic Boroevic";10;"Los Lagos";"Ancud"
"147";6;2;5269;0;2013;2;"Evelyn Matthei Fornet";10;"Los Lagos";"Ancud"
"148";6;8;210;0;2017;1;"Votos Nulos";10;"Los Lagos";"Ancud"
"149";6;10;79;0;2013;1;"Ricardo Israel Zipper";10;"Los Lagos";"Ancud"
"150";6;1;8434;1;2013;2;"Michelle Bachelet Jeria";10;"Los Lagos";"Ancud"
