"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"region_id"
"252";9;9;309;0;2017;1;2
"253";9;8;1004;0;2017;2;2
"254";9;3;7121;0;2017;1;2
"255";9;8;929;0;2017;1;2
"256";9;10;488;0;2013;1;2
"257";9;147;8162;0;2017;1;2
"258";9;2552;403;0;2017;1;2
"259";9;2550;37566;0;2017;1;2
"260";9;11;124;0;2013;1;2
"261";9;2551;25062;0;2017;1;2
"262";10;1;1425;1;2013;2;8
"263";10;2;362;0;2013;1;8
"264";10;3;124;0;2013;1;8
"265";10;4;177;0;2013;1;8
"266";10;10;17;0;2013;1;8
"267";10;8;22;0;2013;2;8
"268";10;9;8;0;2013;2;8
"269";10;8;30;0;2013;1;8
"270";10;2;426;0;2013;2;8
"271";10;8;8;0;2017;2;8
"272";10;11;5;0;2013;1;8
"273";10;567;827;0;2017;2;8
"274";10;9;29;0;2013;1;8
"275";10;1;1398;0;2013;1;8
"276";10;3;95;0;2017;1;8
"277";10;8;26;0;2017;1;8
"278";10;9;25;0;2017;1;8
"279";10;5;25;0;2013;1;8
"280";10;6;19;0;2013;1;8
"281";10;7;20;0;2013;1;8
"282";10;567;424;0;2017;1;8
"283";10;2550;808;0;2017;1;8
"284";10;2551;153;0;2017;1;8
"285";10;9;9;0;2017;2;8
"286";10;561;198;0;2017;1;8
"287";10;2550;1196;1;2017;2;8
"288";10;535;5;0;2017;1;8
"289";10;2552;11;0;2017;1;8
"290";10;147;127;0;2017;1;8
"291";11;2;2867;0;2013;1;8
"292";11;6;110;0;2013;1;8
"293";11;4;2073;0;2013;1;8
"294";11;1;8493;0;2013;1;8
"295";11;1;9161;1;2013;2;8
"296";11;2;4042;0;2013;2;8
"297";11;8;193;0;2013;2;8
"298";11;5;284;0;2013;1;8
"299";11;9;87;0;2013;2;8
"300";11;8;160;0;2017;1;8
"301";11;3;960;0;2013;1;8
"302";11;147;2288;0;2017;1;8
"303";11;535;119;0;2017;1;8
"304";11;561;823;0;2017;1;8
"305";11;7;163;0;2013;1;8
"306";11;8;260;0;2013;1;8
"307";11;9;175;0;2013;1;8
"308";11;10;113;0;2013;1;8
"309";11;11;42;0;2013;1;8
"310";11;9;146;0;2017;1;8
"311";11;8;107;0;2017;2;8
"312";11;3;819;0;2017;1;8
"313";11;567;6736;0;2017;2;8
"314";11;567;3720;0;2017;1;8
"315";11;2550;4162;0;2017;1;8
"316";11;9;56;0;2017;2;8
"317";11;2552;82;0;2017;1;8
"318";11;2550;8341;1;2017;2;8
"319";11;2551;2035;0;2017;1;8
"320";12;1;28070;0;2013;1;15
"321";12;1;31957;1;2013;2;15
"322";12;3;4415;0;2017;1;15
"323";12;2;14587;0;2013;1;15
"324";12;9;307;0;2017;1;15
"325";12;147;8010;0;2017;1;15
"326";12;3;6891;0;2013;1;15
"327";12;8;648;0;2017;1;15
"328";12;8;833;0;2013;2;15
"329";12;9;296;0;2013;2;15
"330";12;8;652;0;2013;1;15
"331";12;2;20605;0;2013;2;15
"332";12;9;336;0;2013;1;15
"333";12;10;314;0;2013;1;15
"334";12;11;83;0;2013;1;15
"335";12;2550;34075;1;2017;2;15
"336";12;4;13855;0;2013;1;15
"337";12;5;1455;0;2013;1;15
"338";12;6;1001;0;2013;1;15
"339";12;7;811;0;2013;1;15
"340";12;2552;241;0;2017;1;15
"341";12;8;545;0;2017;2;15
"342";12;9;139;0;2017;2;15
"343";12;567;33703;0;2017;2;15
"344";12;2550;20349;0;2017;1;15
"345";12;535;290;0;2017;1;15
"346";12;561;2764;0;2017;1;15
"347";12;567;17573;0;2017;1;15
"348";12;2551;16537;0;2017;1;15
"349";13;2;1666;0;2013;1;11
"350";13;4;1474;0;2013;1;11
"351";13;5;165;0;2013;1;11
"352";13;1;4817;0;2013;1;11
"353";13;3;488;0;2013;1;11
"354";13;9;21;0;2017;2;11
"355";13;567;4854;0;2017;2;11
"356";13;2550;3842;1;2017;2;11
"357";13;8;59;0;2017;2;11
"358";13;1;5263;1;2013;2;11
"359";13;3;450;0;2017;1;11
"360";13;2;2176;0;2013;2;11
"361";13;8;70;0;2013;2;11
"362";13;9;29;0;2013;2;11
"363";13;561;663;0;2017;1;11
"364";13;567;2606;0;2017;1;11
"365";13;2550;2725;0;2017;1;11
"366";13;2551;1485;0;2017;1;11
"367";13;2552;40;0;2017;1;11
"368";13;6;61;0;2013;1;11
"369";13;7;95;0;2013;1;11
"370";13;8;69;0;2013;1;11
"371";13;9;75;0;2013;1;11
"372";13;10;36;0;2013;1;11
"373";13;11;13;0;2013;1;11
"374";13;535;33;0;2017;1;11
"375";13;8;79;0;2017;1;11
"376";13;9;69;0;2017;1;11
"377";13;147;635;0;2017;1;11
"378";14;567;6156;0;2017;1;13
"379";14;7;376;0;2013;1;13
"380";14;8;315;0;2013;1;13
"381";14;9;267;0;2013;1;13
"382";14;10;153;0;2013;1;13
"383";14;11;51;0;2013;1;13
"384";14;9;177;0;2017;1;13
"385";14;147;3886;0;2017;1;13
"386";14;535;94;0;2017;1;13
"387";14;561;1670;0;2017;1;13
"388";14;2550;11454;0;2017;1;13
"389";14;2551;6056;0;2017;1;13
"390";14;2552;183;0;2017;1;13
"391";14;5;596;0;2013;1;13
"392";14;6;628;0;2013;1;13
"393";14;8;270;0;2017;2;13
"394";14;9;81;0;2017;2;13
"395";14;567;13361;0;2017;2;13
"396";14;2550;19594;1;2017;2;13
"397";14;1;12958;0;2013;1;13
"398";14;2;8585;0;2013;1;13
"399";14;3;3971;0;2013;1;13
"400";14;4;3222;0;2013;1;13
"401";14;1;15078;1;2013;2;13
"402";14;2;10918;0;2013;2;13
"403";14;8;370;0;2013;2;13
"404";14;3;1877;0;2017;1;13
"405";14;8;301;0;2017;1;13
"406";14;9;164;0;2013;2;13
"407";15;2552;62;0;2017;1;8
"408";15;4;1011;0;2013;1;8
"409";15;2550;4071;0;2017;1;8
"410";15;2551;1081;0;2017;1;8
"411";15;1;5812;0;2013;1;8
"412";15;2;2524;0;2013;1;8
"413";15;3;602;0;2013;1;8
"414";15;567;2438;0;2017;1;8
"415";15;6;101;0;2013;1;8
"416";15;7;78;0;2013;1;8
"417";15;8;135;0;2013;1;8
"418";15;5;136;0;2013;1;8
"419";15;8;121;0;2017;1;8
"420";15;9;102;0;2017;1;8
"421";15;9;110;0;2013;1;8
"422";15;3;395;0;2017;1;8
"423";15;11;29;0;2013;1;8
"424";15;8;60;0;2017;2;8
"425";15;9;28;0;2017;2;8
"426";15;567;4316;0;2017;2;8
"427";15;2550;6113;1;2017;2;8
"428";15;561;751;0;2017;1;8
"429";15;2;3317;0;2013;2;8
"430";15;147;605;0;2017;1;8
"431";15;10;46;0;2013;1;8
"432";15;535;55;0;2017;1;8
"433";15;1;6202;1;2013;2;8
"434";15;8;107;0;2013;2;8
"435";15;9;41;0;2013;2;8
"436";16;8;79;0;2017;1;5
"437";16;9;83;0;2017;1;5
"438";16;147;387;0;2017;1;5
"439";16;535;15;0;2017;1;5
"440";16;561;728;0;2017;1;5
"441";16;567;2334;0;2017;1;5
"442";16;9;27;0;2017;2;5
"443";16;567;5056;0;2017;2;5
"444";16;3;474;0;2017;1;5
"445";16;8;57;0;2017;2;5
"446";16;9;77;0;2013;1;5
"447";16;10;29;0;2013;1;5
"448";16;2550;3415;1;2017;2;5
"449";16;8;113;0;2013;1;5
"450";16;1;5561;0;2013;1;5
"451";16;2;1303;0;2013;1;5
"452";16;3;674;0;2013;1;5
"453";16;1;6135;1;2013;2;5
"454";16;4;632;0;2013;1;5
"455";16;5;264;0;2013;1;5
"456";16;6;98;0;2013;1;5
"457";16;7;129;0;2013;1;5
"458";16;2551;1944;0;2017;1;5
"459";16;2552;60;0;2017;1;5
"460";16;8;120;0;2013;2;5
"461";16;2550;2227;0;2017;1;5
"462";16;2;1651;0;2013;2;5
"463";16;9;31;0;2013;2;5
"464";16;11;25;0;2013;1;5
"465";17;8;5;0;2017;2;12
"466";17;567;207;0;2017;2;12
"467";17;9;8;0;2017;1;12
"468";17;3;11;0;2017;1;12
"469";17;8;0;0;2017;1;12
"470";17;1;180;1;2013;2;12
"471";17;9;3;0;2017;2;12
"472";17;8;3;0;2013;2;12
"473";17;9;3;0;2013;2;12
"474";17;2552;3;0;2017;1;12
"475";17;2;281;0;2013;2;12
"476";17;1;235;0;2013;1;12
"477";17;2;205;0;2013;1;12
"478";17;3;46;0;2013;1;12
"479";17;4;86;0;2013;1;12
"480";17;5;14;0;2013;1;12
"481";17;147;185;0;2017;1;12
"482";17;535;1;0;2017;1;12
"483";17;561;113;0;2017;1;12
"484";17;567;91;0;2017;1;12
"485";17;2550;236;0;2017;1;12
"486";17;2551;131;0;2017;1;12
"487";17;7;7;0;2013;1;12
"488";17;2550;378;1;2017;2;12
"489";17;9;3;0;2013;1;12
"490";17;6;9;0;2013;1;12
"491";17;11;1;0;2013;1;12
"492";17;8;6;0;2013;1;12
"493";17;10;1;0;2013;1;12
"494";18;8;144;0;2013;2;8
"495";18;1;7593;1;2013;2;8
"496";18;7;134;0;2013;1;8
"497";18;8;202;0;2013;1;8
"498";18;9;62;0;2013;2;8
"499";18;6;80;0;2013;1;8
"500";18;2551;1229;0;2017;1;8
"501";18;2;3054;0;2013;2;8
"502";18;8;105;0;2017;2;8
"503";18;9;52;0;2017;2;8
"504";18;567;4665;0;2017;2;8
"505";18;2550;7575;1;2017;2;8
"506";18;3;708;0;2017;1;8
"507";18;9;167;0;2013;1;8
"508";18;10;87;0;2013;1;8
"509";18;11;51;0;2013;1;8
"510";18;535;104;0;2017;1;8
"511";18;561;1041;0;2017;1;8
"512";18;567;2113;0;2017;1;8
"513";18;2550;4133;0;2017;1;8
"514";18;2552;52;0;2017;1;8
"515";18;3;812;0;2013;1;8
"516";18;4;1232;0;2013;1;8
"517";18;5;167;0;2013;1;8
"518";18;147;1351;0;2017;1;8
"519";18;1;7136;0;2013;1;8
"520";18;8;152;0;2017;1;8
"521";18;9;158;0;2017;1;8
"522";18;2;2055;0;2013;1;8
"523";19;1;23520;1;2013;2;2
"524";19;8;461;0;2017;2;2
"525";19;3;6365;0;2013;1;2
"526";19;4;12376;0;2013;1;2
"527";19;2552;227;0;2017;1;2
"528";19;2;9451;0;2013;1;2
"529";19;6;544;0;2013;1;2
"530";19;7;703;0;2013;1;2
"531";19;8;536;0;2013;1;2
"532";19;2;14260;0;2013;2;2
"533";19;8;649;0;2013;2;2
"534";19;9;164;0;2013;2;2
"535";19;2550;17373;0;2017;1;2
"536";19;2551;10107;0;2017;1;2
"537";19;1;19844;0;2013;1;2
"538";19;3;3326;0;2017;1;2
"539";19;8;479;0;2017;1;2
"540";19;9;167;0;2017;1;2
"541";19;5;1228;0;2013;1;2
"542";19;10;407;0;2013;1;2
"543";19;11;59;0;2013;1;2
"544";19;9;94;0;2017;2;2
"545";19;9;244;0;2013;1;2
"546";19;2550;29472;1;2017;2;2
"547";19;535;140;0;2017;1;2
